Province,Age Group,Gender,University,Employment Status,Comfortability of conversation via text based medium,Comfortability of using LMS,Communication between class and me,Clarity of the lecture slides and voice compared to face-to-face lectures,Comfortability of participating classes,Effectiveness of e-learning,I like the flexibility of e-learning than physical lectures,E-learning worth my time,I prefer e-learning,I look forward to learning with e-learning,I'm more satisfied with e-learning compared face-to-face lectures,I recommend e-learning to other students,Own Opinion
Western,3,1,SLIIT,0,4,4,4,5,5,4,5,4,4,4,5,4,
Western,3,1,SLIIT,0,5,4,3,4,5,4,3,3,3,3,2,3,
North Western,3,1,SLIIT,0,5,4,4,5,5,5,5,5,5,5,5,5,E learning makes feel better because I don't have to waste my time to travel.
Western,4,1,SLIIT,0,3,3,4,4,4,3,4,4,3,3,3,3,
Western,4,0,SLIIT,0,5,3,3,4,4,3,4,4,3,3,3,3,
North Western,4,0,University of Moratuwa,1,4,4,4,5,5,4,5,5,4,4,5,4,
Western,2,0,University of Colombo,0,4,2,3,4,4,3,5,5,2,2,2,3,
Southern,4,1,University of Colombo,1,5,5,4,5,5,5,5,5,4,4,5,3,
Uva,4,1,University of Colombo,1,4,4,3,2,2,3,5,4,4,4,3,3,"E-learning is good. but due the connectivity issue, it is not practical in some areas in sri lanka."
Southern,4,0,University of Colombo,1,5,5,4,5,5,4,5,5,5,5,5,5,
North Western,2,1,SLIIT,0,4,2,3,4,5,3,3,4,4,5,4,4,
Central,4,0,Uva Wellassa University of Sri Lanka,0,5,4,4,3,4,4,4,4,4,5,5,5,"In my opinion this is the best way since learning within the university is wasting of time since there are lots of unwanted meetings, gatherings, picketing etc."
Western,2,1,SLIIT,0,5,5,3,4,4,4,4,4,4,3,4,4,
North Western,2,1,SLIIT,0,4,4,5,5,4,4,5,4,5,5,5,4,
Western,2,0,SLIIT,0,4,3,3,5,4,4,5,5,4,4,5,4,
Uva,3,1,SLIIT,0,4,4,2,3,2,3,4,3,2,2,2,2,
North Western,3,1,University of Colombo,0,4,4,3,5,4,4,5,4,4,4,4,4,
Western,3,1,SLIIT,1,4,3,3,4,4,5,5,4,4,4,4,4,
North Western,3,1,SLIIT,1,5,5,3,4,5,4,5,5,5,5,5,4,
North Western,3,1,University of Colombo,0,4,3,3,4,4,4,4,4,4,4,5,3,
Western,3,1,SLIIT,1,4,4,4,3,3,4,5,4,4,4,3,4,
Southern,3,1,SLIIT,1,5,4,4,4,3,3,4,3,3,4,4,4,
North Western,3,1,SLIIT,1,4,3,3,4,4,4,5,4,5,5,5,4,
North Western,4,1,SLIIT,1,4,4,3,5,5,5,5,5,5,5,5,5,
Western,3,1,SLIIT,0,4,4,4,4,5,3,5,5,5,4,4,4,
Western,3,1,SLIIT,1,5,4,4,5,4,4,5,5,5,5,5,5,
North Western,3,1,SLIIT,0,5,3,3,4,5,4,5,4,4,4,4,4,
North Western,3,0,University of Colombo,0,4,4,3,5,5,4,5,5,4,4,5,4,
Southern,4,1,University of Colombo,1,5,4,5,4,4,4,5,4,4,4,5,4,
North Western,4,1,SLIIT,1,5,4,4,5,4,4,5,4,4,4,5,5,
Western,3,1,University of Wayamba,0,4,4,3,4,3,4,4,4,3,4,4,4,
Western,3,1,SLIIT,0,4,4,5,4,5,5,5,4,4,4,4,4,
Southern,3,1,SLIIT,1,4,4,3,4,4,4,5,5,4,4,5,4,
North Western,3,1,SLIIT,0,5,4,4,5,5,5,4,4,5,4,5,4,
Western,3,1,University of Colombo,0,4,4,5,5,4,4,5,5,5,5,5,5,
North Western,3,1,SLIIT,0,5,4,5,4,4,5,5,4,4,5,5,4,
North Western,4,1,SLIIT,0,5,4,4,4,4,4,5,4,4,4,5,4,
North Western,3,0,University of Colombo,0,4,4,4,4,4,4,4,4,4,4,4,4,
Western,4,0,SLIIT,1,4,4,3,5,4,4,5,5,4,4,5,5,
Western,3,1,University of Kelaniya,1,5,4,4,4,5,4,4,4,5,4,5,4,
Southern,3,1,University of Colombo,1,5,4,4,4,5,4,5,4,4,4,4,4,
Western,3,1,SLIIT,0,3,4,3,5,4,4,5,4,4,4,5,5,
